Country,Player,Mins,Gls,Ast,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
United States,James Sands,790,0,0,0,0,1.0,0.0,10.0,0,0,7.0,0.0,8.777777777777779,0.0,0.0,0.11392405063291139,0.0,0.0,0.0,0.7974683544303797,0.0
United States,Jesús Ferreira,1100,9,0,1,1,19.0,14.0,3.0,1,0,14.0,0.0,12.222222222222221,0.7363636363636364,0.0,1.5545454545454547,1.1454545454545455,0.08181818181818182,0.0,1.1454545454545455,0.0
United States,Joe Scally,869,0,0,0,0,1.0,0.0,7.0,0,0,15.0,0.0,9.655555555555555,0.0,0.0,0.10356731875719218,0.0,0.0,0.0,1.5535097813578826,0.0
United States,John Brooks,135,0,0,0,0,0.0,0.0,0.0,1,0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0
United States,John Tolkin,339,0,1,0,0,2.0,0.0,4.0,0,0,12.0,0.0,3.7666666666666666,0.0,0.26548672566371684,0.5309734513274337,0.0,0.0,0.0,3.185840707964602,0.0
United States,Johnny Cardoso,558,0,0,0,0,0.0,0.0,4.0,1,0,22.0,0.0,6.2,0.0,0.0,0.0,0.0,0.16129032258064516,0.0,3.5483870967741935,0.0
United States,Jonathan Gomez,97,0,0,0,0,0.0,0.0,0.0,0,0,2.0,0.0,1.0777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,1.8556701030927836,0.0
United States,Jordan Morris,484,0,1,0,0,3.0,1.0,0.0,0,0,16.0,0.0,5.377777777777778,0.0,0.1859504132231405,0.5578512396694214,0.1859504132231405,0.0,0.0,2.975206611570248,0.0
United States,Jordan Pefok,140,0,0,0,0,0.0,0.0,0.0,1,0,1.0,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.6428571428571428,0.0,0.6428571428571428,0.0
United States,Josh Sargent,532,0,0,0,0,5.0,1.0,0.0,0,0,11.0,0.0,5.911111111111111,0.0,0.0,0.8458646616541353,0.16917293233082706,0.0,0.0,1.8609022556390977,0.0
United States,Julian Gressel,223,0,2,0,0,1.0,1.0,0.0,0,0,5.0,0.0,2.477777777777778,0.0,0.8071748878923767,0.40358744394618834,0.40358744394618834,0.0,0.0,2.0179372197309418,0.0
United States,Kellyn Acosta,1182,0,1,0,0,0.0,0.0,3.0,2,0,13.0,0.0,13.133333333333333,0.0,0.07614213197969544,0.0,0.0,0.15228426395939088,0.0,0.9898477157360407,0.0
United States,Kevin Paredes,27,0,0,0,0,0.0,0.0,0.0,0,0,3.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
United States,Konrad De La Fuente,71,0,0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.7888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,1.267605633802817,0.0
United States,Kristoffer Lund,414,0,0,0,0,0.0,0.0,0.0,0,0,5.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0869565217391306,0.0
United States,Lennard Maloney,26,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.28888888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,Luca de la Torre,1060,1,0,0,0,2.0,2.0,6.0,3,0,24.0,0.0,11.777777777777779,0.08490566037735849,0.0,0.16981132075471697,0.16981132075471697,0.25471698113207547,0.0,2.0377358490566038,0.0
United States,Malik Tillman,1102,3,4,0,1,12.0,3.0,16.0,0,0,26.0,0.0,12.244444444444444,0.24500907441016337,0.3266787658802178,0.9800362976406535,0.24500907441016337,0.0,0.0,2.123411978221416,0.0
