Country,Date,Player,Mins,Pos,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
England,2021-06-13,Tyrone Mings,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-13,John Stones,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-13,Kyle Walker,90,RB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-13,Jordan Pickford,90,GK,0,0,0,0,0,0,0,0,0,2,100.0,NA,0
England,2021-06-18,Harry Kane,73,FW,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Marcus Rashford,17,FW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Raheem Sterling,90,"LW,RW",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Phil Foden,62,RW,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Jack Grealish,28,"LW,RM",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Mason Mount,90,"LM,AM",0,0,0,0,3,1,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Declan Rice,90,"CM,DM",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Kalvin Phillips,90,"RM,DM",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Luke Shaw,90,LB,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Tyrone Mings,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,John Stones,90,CB,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Reece James,90,RB,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-06-18,Jordan Pickford,90,GK,0,0,0,0,0,0,0,0,0,1,100.0,NA,0
England,2021-06-22,Harry Kane,90,FW,0,0,0,0,2,1,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Raheem Sterling,66,LW,1,0,0,0,2,2,0,0,NA,NA,NA,NA,NA
England,2021-06-22,Marcus Rashford,24,LW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
