Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
Egypt,2021-11-12,Mohamed Elneny,90,DM,1,0,,0,0,,,,1,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Amro El Soulia,90,DM,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Ahmed Aboul-Fotouh,89,LB,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Mahmoud Alaa,1,DF,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Ayman Ashraf,90,CB,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Ahmed Hegazi,90,CB,0,0,,0,0,,,,0,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Akram Tawfik,90,RB,1,0,,0,0,,,,1,0,0,2,NA,NA,NA,NA
Egypt,2021-11-12,Mohamed El-Shenawy,90,GK,0,0,,0,0,,,,0,0,0,2,,,NA,0
Egypt,2021-11-16,Marwan Hamdy,90,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Ahmed Yasser Rayan,59,AM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Emam Ashour,31,MF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Afsha,89,AM,1,0,,1,1,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Mahmoud Alaa,1,DF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Mohamed Sherif,58,AM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Mohamed Salah,32,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Hamdy Fathy,90,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Amro El Soulia,58,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Mostafa Fathi,32,MF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Mohamed Hamdy,90,LB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,El Wensh,90,CB,0,0,,0,0,,,,1,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Ahmed Hegazi,80,CB,0,0,,0,0,,,,1,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Ahmed Yassin,10,DF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Ahmed Fathy,90,RB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-11-16,Mohamed El-Shenawy,90,GK,0,0,,0,0,,,,0,0,0,1,,,NA,0
Egypt,2022-01-11,Mohamed Salah,90,FW,0,0,,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Omar Marmoush,90,FW,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Mostafa Mohamed,57,FW,0,0,,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Ramadan Sobhi,33,MF,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Mohamed Elneny,90,CM,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Trézéguet,57,CM,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Ahmed Sayed,33,MF,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Hamdy Fathy,90,DM,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Ahmed Aboul-Fotouh,45,LB,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Ayman Ashraf,45,DF,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,El Wensh,89,CB,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Mohamed Sherif,1,FW,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
Egypt,2022-01-11,Ahmed Hegazi,90,CB,0,0,,0,0,1,0,3,0,0,0,1,NA,NA,NA,NA
