Country,Date,Player,Mins,Pos,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
France,2021-03-24,Lucas Hernández,90,LB,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
France,2021-03-24,Presnel Kimpembe,90,CB,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
France,2021-03-24,Raphaël Varane,90,CB,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
France,2021-03-24,Benjamin Pavard,90,RB,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
France,2021-03-24,Hugo Lloris,90,GK,0,0,0,0,0,0,0,0,1,0,0.0,NA,0
Germany,2021-03-25,Leroy Sané,78,FW,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Timo Werner,12,"FW,MF",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Kai Havertz,78,FW,1,0,0,0,2,1,1,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Jamal Musiala,12,"FW,MF",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Serge Gnabry,85,FW,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Amin Younes,5,"FW,MF",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,İlkay Gündoğan,90,CM,1,0,0,0,2,1,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Joshua Kimmich,90,CM,0,0,0,0,3,1,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Leon Goretzka,70,CM,1,0,0,0,5,2,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Florian Neuhaus,20,MF,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Emre Can,90,LB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Matthias Ginter,90,CB,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Antonio Rüdiger,90,CB,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Lukas Klostermann,90,RB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Manuel Neuer,90,GK,0,0,0,0,0,0,0,0,0,2,100.0,NA,0
Japan,2019-09-10,Takumi Minamino,76,FW,1,0,0,0,,,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Musashi Suzuki,14,"FW,MF",0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Hiroki Sakai,90,AM,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Yuya Osako,90,AM,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
