Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Argentina,2021-06-08,Marcos Acuña,90,LB,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Nicolás Otamendi,90,CB,0,0,,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Cristian Romero,63,CB,1,0,,0,0,1,1,0,1,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Germán Pezzella,27,DF,0,0,,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Gonzalo Montiel,90,RB,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2021-06-08,Emiliano Martínez,39,GK,0,0,,0,0,0,0,0,0,0,0,0,1,100.0,1,NA,0
Argentina,2021-06-08,Agustín Marchesín,51,GK,0,0,,0,0,0,0,0,0,0,0,0,1,100.0,1,NA,0
Colombia,2021-06-13,Miguel Borja,60,FW,0,1,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Duván Zapata,30,FW,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Rafael Borré,90,"FW,LW",0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Edwin Cardona,81,LM,1,0,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Gustavo Cuellar,9,CM,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Mateus Uribe,60,CM,0,0,0,0,0,0,0,3,1,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Sebastián Pérez Cardona,30,CM,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Wílmar Barrios,90,CM,0,0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Juan Cuadrado,90,"RM,RW",0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Yairo Moreno,44,LB,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,William Tesillo,46,LB,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Óscar Murillo,81,CB,0,0,0,0,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Davinson Sánchez,9,CB,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Yerry Mina,90,CB,0,0,0,0,0,2,1,3,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,Daniel Muñoz,90,RB,0,0,0,0,0,0,0,3,1,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-13,David Ospina,90,GK,0,0,0,0,0,0,0,0,0,0,0,0,2,100.0,0,NA,0
Colombia,2021-06-17,Duván Zapata,72,FW,0,0,0,0,0,6,3,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Miguel Borja,18,FW,0,0,0,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Luis Muriel,61,FW,0,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Jaminton Campaz,29,"LM,RW",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Edwin Cardona,61,LM,0,0,0,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Luis Díaz,28,LW,0,0,0,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Mateus Uribe,90,"CM,RM",0,0,0,0,0,4,2,3,1,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Wílmar Barrios,90,CM,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Juan Cuadrado,90,"RM,RW,LM",0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,William Tesillo,90,LB,0,0,0,0,0,1,0,5,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Davinson Sánchez,90,CB,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Yerry Mina,90,CB,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,Daniel Muñoz,90,RB,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2021-06-17,David Ospina,90,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NA,0
Colombia,2021-06-20,Miguel Borja,90,FW,1,0,1,1,1,4,1,0,1,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Duván Zapata,60,LW,0,0,0,0,0,1,1,1,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Luis Muriel,30,"FW,LW",0,0,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Juan Cuadrado,90,"RW,RB,AM",0,0,0,0,0,1,0,2,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Edwin Cardona,69,AM,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Yimmi Chará,21,AM,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Sebastián Pérez Cardona,59,DM,0,0,0,0,0,0,0,2,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Gustavo Cuellar,31,DM,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Wílmar Barrios,90,DM,0,0,0,0,0,0,0,6,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,William Tesillo,90,LB,0,0,0,0,0,0,0,4,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Davinson Sánchez,90,CB,0,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Yerry Mina,90,CB,0,0,0,0,0,3,0,0,0,0,1,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Stefan Medina,80,RB,0,0,0,0,0,1,1,2,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,Alfredo Morelos,10,AM,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2021-06-20,David Ospina,90,GK,0,0,0,0,0,0,0,0,0,0,0,2,2,33.3,0,NA,0
Argentina,2021-07-06,Lautaro Martínez,120,FW,1,0,0,0,0,3,1,2,0,0,0,1,NA,NA,NA,1,NA
Argentina,2021-07-06,Nicolás González,66,LW,0,0,0,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA
Argentina,2021-07-06,Ángel Di María,54,RW,0,0,0,0,0,2,1,0,0,0,0,1,NA,NA,NA,NA,NA
Argentina,2021-07-06,Lionel Messi,120,"RW,AM",0,1,0,0,0,3,0,1,0,0,0,1,NA,NA,NA,1,NA
Argentina,2021-07-06,Giovani Lo Celso,55,LM,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA
Argentina,2021-07-06,Leandro Paredes,65,"DM,CM",0,0,0,0,0,1,0,2,0,0,0,1,NA,NA,NA,1,NA
Argentina,2021-07-06,Guido Rodríguez,120,"CM,DM,LM",0,0,0,0,0,0,0,2,1,0,0,1,NA,NA,NA,NA,NA
Argentina,2021-07-06,Rodrigo De Paul,120,"RM,LW",0,0,0,0,0,2,0,2,0,0,0,1,NA,NA,NA,0,NA
Argentina,2021-07-06,Nicolás Tagliafico,120,LB,0,0,0,0,0,1,0,3,0,0,0,1,NA,NA,NA,NA,NA
Argentina,2021-07-06,Nicolás Otamendi,120,CB,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Argentina,2021-07-06,Germán Pezzella,120,CB,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA
Argentina,2021-07-06,Nahuel Molina,45,RB,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Argentina,2021-07-06,Gonzalo Montiel,75,RB,0,0,0,0,0,0,0,3,1,0,0,1,NA,NA,NA,NA,NA
Argentina,2021-07-06,Emiliano Martínez,120,GK,0,0,0,0,0,0,0,0,0,0,0,1,3,75.0,0,NA,3
Colombia,2021-07-06,Duván Zapata,59,FW,0,0,0,0,0,3,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-07-06,Miguel Borja,61,FW,0,0,0,0,0,1,0,0,1,0,0,1,NA,NA,NA,1,NA
Colombia,2021-07-06,Rafael Borré,45,FW,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-07-06,Edwin Cardona,75,AM,0,1,0,0,0,1,0,1,1,0,0,1,NA,NA,NA,0,NA
Colombia,2021-07-06,Luis Díaz,120,"LW,LM",1,0,0,0,0,3,2,3,0,0,0,1,NA,NA,NA,NA,NA
Colombia,2021-07-06,Gustavo Cuellar,45,CM,0,0,0,0,0,0,0,3,0,0,0,1,NA,NA,NA,NA,NA
