Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Canada,2021-06-12,Mark-Anthony Kaye,61,CM,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Sam Adekugbe,29,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Stephen Eustáquio,90,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Richie Laryea,77,RM,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Tajon Buchanan,13,"DF,FW",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Scott Kennedy,90,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Steven Vitória,90,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Alistair Johnston,90,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-12,Milan Borjan,90,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Canada,2021-06-15,Cyle Larin,74,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Sam Adekugbe,16,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Jonathan David,81,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Tajon Buchanan,9,"DF,FW",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Alphonso Davies,81,LW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Junior Hoilett,9,"FW,MF",1,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Mark-Anthony Kaye,90,AM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Jonathan Osorio,64,AM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,David Wotherspoon,26,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Alistair Johnston,90,RW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Stephen Eustáquio,90,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Scott Kennedy,90,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Steven Vitória,90,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Doneil Henry,90,CB,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-15,Milan Borjan,90,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Canada,2021-07-11,Cyle Larin,73,FW,1,0,,0,0,2,1,1,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Theo Corbeanu,17,"FW,MF",1,0,,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Junior Hoilett,61,FW,0,2,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Lucas Cavallini,29,FW,0,1,,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Tajon Buchanan,90,LM,0,1,,0,0,2,0,0,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Stephen Eustáquio,73,CM,1,0,,0,0,2,1,1,1,0,0,1,NA,NA,NA,NA,NA
Canada,2021-07-11,Liam Fraser,17,MF,0,0,,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA
